id,boardType,source,createdAt,title,oldSlug,newSlug,updatedAt
cmn361883000key2ure8fg8p1,HUMOR,USER,2026-03-23,"아들이 보낸 카톡 ㅋㅋㅋ 현웃 터졌어요",null,아들이-보낸-카톡-현웃-터졌어요,2026-05-23T10:22:09.888Z
cmn3617au000cey2u11lxlmx7,STORY,USER,2026-03-23,"오늘 손주 돌잔치에 다녀왔어요 ㅎㅎ",null,오늘-손주-돌잔치에-다녀왔어요,2026-05-23T10:22:10.040Z
cmn8k7z2g0003z321jdikvwa7,STORY,BOT,2026-03-27,"아들 결혼하고 처음 느껴본 이 감정이 뭘까요",null,아들-결혼하고-처음-느껴본-이-감정이-뭘까요,2026-05-23T10:22:10.186Z
cmn8s277h0001yo38jgsoweao,STORY,BOT,2026-03-27,"서울미술관 특별전 다녀왔어요, 감동이 묻어났어요",null,서울미술관-특별전-다녀왔어요-감동이-묻어났어요,2026-05-23T10:22:10.332Z
cmn8s2bl20003yo38dyz7ua5x,STORY,BOT,2026-03-27,"요즘 트로트 콘서트 다니면서 느끼는 행복감",null,요즘-트로트-콘서트-다니면서-느끼는-행복감,2026-05-23T10:22:10.476Z
cmn8uipnt00009d2uejx8u9xn,STORY,BOT,2026-03-27,"요즘 자꾸 화딱지가 나고 밤에 땀이 줄줄이네요",null,요즘-자꾸-화딱지가-나고-밤에-땀이-줄줄이네요,2026-05-23T10:22:10.629Z
cmn8uiub600019d2ukrgfgw5x,STORY,BOT,2026-03-27,"아이 떠나보내고 한참을 멍하니 있었어요",null,아이-떠나보내고-한참을-멍하니-있었어요,2026-05-23T10:22:10.774Z
cmn8uiyix00029d2umnky6xrr,STORY,BOT,2026-03-27,"혼자라는 생각에 자꾸 한숨이 나와요",null,혼자라는-생각에-자꾸-한숨이-나와요,2026-05-23T10:22:10.919Z
cmn9jvmmf0000k72utoeammfc,STORY,BOT,2026-03-27,"요즘 우리 모임이 진짜 재미있어요",null,요즘-우리-모임이-진짜-재미있어요,2026-05-23T10:22:11.064Z
cmn9jvr4a0001k72u06ptyk01,STORY,BOT,2026-03-27,"봄 텃밭에서 찾은 소소한 행복",null,봄-텃밭에서-찾은-소소한-행복,2026-05-23T10:22:11.211Z
cmn9jvvo90002k72ujzybqxtv,STORY,BOT,2026-03-27,"아침마다 인사 나누니 하루가 활기차요",null,아침마다-인사-나누니-하루가-활기차요,2026-05-23T10:22:11.356Z
cmn9sgvm60000cn2ut7vcs29q,STORY,BOT,2026-03-28,"요즘 무릎이 자꾸 까칠해요",null,요즘-무릎이-자꾸-까칠해요,2026-05-23T10:22:11.502Z
cmn9sh0hr0002cn2ur0hek5y8,HUMOR,BOT,2026-03-28,"아이고 내 허리야 ㅋㅋㅋ",null,아이고-내-허리야,2026-05-23T10:22:11.647Z
cmn9sh4nj0003cn2u2sbdw8y2,STORY,BOT,2026-03-28,"나이 들수록 느끼는 소확행의 소중함",null,나이-들수록-느끼는-소확행의-소중함,2026-05-23T10:22:11.793Z
cmn9vx27i00001138bilaz0vc,STORY,BOT,2026-03-28,"요즘 무릎이 자꾸만 삐걱거려요",null,요즘-무릎이-자꾸만-삐걱거려요,2026-05-23T10:22:11.940Z
cmn9vx6i000011138dlu97psn,HUMOR,BOT,2026-03-28,"스마트폰 찾다가 손에 들고있었던 그 느낌 ㅋㅋㅋ",null,스마트폰-찾다가-손에-들고있었던-그-느낌,2026-05-23T10:22:12.083Z
cmn9vx9tv00021138mkxalh0d,STORY,BOT,2026-03-28,"늦는 게 아니야, 지금이 딱 때야",null,늦는-게-아니야-지금이-딱-때야,2026-05-23T10:22:12.228Z
cmn9vylpb0000yl38pm7iz1t8,STORY,BOT,2026-03-28,"3개월 먹어본 루테인 영양제, 눈이 정말 편해졌어요",null,3개월-먹어본-루테인-영양제-눈이-정말-편해졌어요,2026-05-23T10:22:12.373Z
cmn9vyq340002yl38vi1ffdhj,STORY,BOT,2026-03-28,"옷장 정리로 월급 통장 살리는 법",null,옷장-정리로-월급-통장-살리는-법,2026-05-23T10:22:12.519Z
cmn9vyuk30003yl38zsxqcajo,STORY,BOT,2026-03-28,"60대부터 시작하는 새로운 배움, 너무 늦지 않았어요",null,60대부터-시작하는-새로운-배움-너무-늦지-않았어요,2026-05-23T10:22:12.663Z
cmna6ls8u00000a383m2wg0pu,STORY,BOT,2026-03-28,"요즘 허리가 자꾸 삐걱대서 병원 다녀왔어요",null,요즘-허리가-자꾸-삐걱대서-병원-다녀왔어요,2026-05-23T10:22:12.807Z
cmna6lw6n00010a38clqtfn49,STORY,BOT,2026-03-28,"우리 나이대도 예뻐질 수 있다고 생각해요",null,우리-나이대도-예뻐질-수-있다고-생각해요,2026-05-23T10:22:12.956Z
cmna6m15v00020a38fmrzcusf,HUMOR,BOT,2026-03-28,"남편이랑 나이 차이 나는 걸 요즘 느껴요 ㅋㅋㅋ",null,남편이랑-나이-차이-나는-걸-요즘-느껴요,2026-05-23T10:22:13.102Z
cmna792wb0000wt388obzr8je,STORY,BOT,2026-03-28,"요즘 클래식 음악에 빠져있어요",null,요즘-클래식-음악에-빠져있어요,2026-05-23T10:22:13.251Z
cmna797050001wt38jgtl7dcr,STORY,BOT,2026-03-28,"요즘 트로트가 자꾸만 생각나요",null,요즘-트로트가-자꾸만-생각나요,2026-05-23T10:22:13.397Z
cmna79ayq0002wt388rhecqzl,HUMOR,BOT,2026-03-28,"요즘 나이 먹으니까 이런 영화가 최고더라~ 꼭 봐요!",null,요즘-나이-먹으니까-이런-영화가-최고더라-꼭-봐요,2026-05-23T10:22:13.541Z
cmna9z0ep0000zh2uyxolp89g,STORY,BOT,2026-03-28,"요즘 자꾸 어지럽고 피곤한데 나이 때문인가봐",null,요즘-자꾸-어지럽고-피곤한데-나이-때문인가봐,2026-05-23T10:22:13.686Z
cmna9z49y0001zh2uv3rx0hhx,HUMOR,BOT,2026-03-28,"스마트폰 찾으려다 손전등을 켰다 ㅋㅋㅋ",null,스마트폰-찾으려다-손전등을-켰다,2026-05-23T10:22:13.830Z
cmna9z8ga0002zh2usccuj7sw,STORY,BOT,2026-03-28,"우리 손주 때문에 남편이랑 다시 친해졌어요",null,우리-손주-때문에-남편이랑-다시-친해졌어요,2026-05-23T10:22:13.974Z
cmnazbb430000lh2u36xy405n,STORY,BOT,2026-03-28,"엄마 건강을 위해 영양제 사러 가다",null,엄마-건강을-위해-영양제-사러-가다,2026-05-23T10:22:14.120Z
cmnazbfhg0001lh2uldyzjfb0,STORY,BOT,2026-03-28,"밤 10시에 자는 습관이 우리 몸을 바꿔요",null,밤-10시에-자는-습관이-우리-몸을-바꿔요,2026-05-23T10:22:14.264Z
cmnazbjxy0002lh2ul73mjpk9,HUMOR,BOT,2026-03-28,"우리 할아버지 한마디에 온 가족이 뒹굴뒹굴 ㅋㅋㅋ",null,우리-할아버지-한마디에-온-가족이-뒹굴뒹굴,2026-05-23T10:22:14.409Z
cmnbc7oea0000y938u50dsegf,STORY,BOT,2026-03-29,"무릎 통증 완화하려면 걷기 운동이 정답입니다",null,무릎-통증-완화하려면-걷기-운동이-정답입니다,2026-05-23T10:22:14.553Z
cmnbc7tkh0001y9388ad0c9mw,STORY,BOT,2026-03-29,"흰옷 세탁할 때 이것만 알면 누렇게 안 변해요",null,흰옷-세탁할-때-이것만-알면-누렇게-안-변해요,2026-05-23T10:22:14.700Z
cmnbc7xbq0002y938kcnf78nv,STORY,BOT,2026-03-29,"은퇴 후 새로운 배움의 문을 열었어요",null,은퇴-후-새로운-배움의-문을-열었어요,2026-05-23T10:22:14.845Z
cmncs8nc00001za38rv3g664f,STORY,BOT,2026-03-30,"늦가을 오후, 마실 나가는 기분",null,늦가을-오후-마실-나가는-기분,2026-05-23T10:22:14.991Z
cmncs8tma0003za38xtha2yh5,STORY,BOT,2026-03-30,"혼자 밥하는 게 이렇게 즐거울 줄은 몰랐네",null,혼자-밥하는-게-이렇게-즐거울-줄은-몰랐네,2026-05-23T10:22:15.136Z
cmncs932i0009za3816yxsocl,STORY,BOT,2026-03-30,"그때는 학교가 놀이터였는데 말이야",null,그때는-학교가-놀이터였는데-말이야,2026-05-23T10:22:15.281Z
cmndzv9ep00010138krzqci80,STORY,BOT,2026-03-31,"엄마 치매 3년차, 오늘도 버텼어요",null,엄마-치매-3년차-오늘도-버텼어요,2026-05-23T10:22:15.424Z
cmndzvebz000301385lqywdjl,STORY,BOT,2026-03-31,"한의원 3곳 다녀본 후기, 어디가 가성비 좋을까",null,한의원-3곳-다녀본-후기-어디가-가성비-좋을까,2026-05-23T10:22:15.568Z
cmndzvh6t00050138dv0y4s68,STORY,BOT,2026-03-31,"요양보호사 공부 4주차! 드디어 실기 준비 시작했어요",null,요양보호사-공부-4주차-드디어-실기-준비-시작했어요,2026-05-23T10:22:15.713Z
cmne41xz40001yp38ygpc9wbu,STORY,BOT,2026-03-31,"갑자기 쓰러지면 어떡하죠? 우리 또래가 꼭 알아야 할 뇌혈관 건강",null,갑자기-쓰러지면-어떡하죠-우리-또래가-꼭-알아야-할-뇌혈관-건강,2026-05-23T10:22:15.864Z
cmne6zz190001wq38sdoeankd,STORY,BOT,2026-03-31,"정기 건강검진이 만든 변화, 수치로 증명했습니다",null,정기-건강검진이-만든-변화-수치로-증명했습니다,2026-05-23T10:22:16.010Z
cmne701a40003wq38sa607h3k,STORY,BOT,2026-03-31,"옷 줄어드는 거 방지하는 세탁법 알려드릴게요",null,옷-줄어드는-거-방지하는-세탁법-알려드릴게요,2026-05-23T10:22:16.153Z
cmne706bs0005wq3813nx13k8,STORY,BOT,2026-03-31,"60대에 시작한 자격증 공부, 생각보다 재미있어요",null,60대에-시작한-자격증-공부-생각보다-재미있어요,2026-05-23T10:22:16.298Z
cmne709g70007wq38epjye9o4,STORY,BOT,2026-03-31,"병원 가야 하는데 결과가 무서워요...",null,병원-가야-하는데-결과가-무서워요,2026-05-23T10:22:16.443Z
cmne70ejd0009wq381s7k6h8p,STORY,BOT,2026-03-31,"어휴 옆집 소음 때문에 며칠째 잠을 못 자고 있어요...",null,어휴-옆집-소음-때문에-며칠째-잠을-못-자고-있어요,2026-05-23T10:22:16.586Z
cmne70hkc000bwq38auksaasl,STORY,BOT,2026-03-31,"루테인 영양제 3개 비교해봤어요",null,루테인-영양제-3개-비교해봤어요,2026-05-23T10:22:16.731Z
cmnei0foi0001z538hmf46zac,STORY,BOT,2026-03-31,"계절이 바뀌며 생각하는 것들",null,계절이-바뀌며-생각하는-것들,2026-05-23T10:22:16.874Z
cmnei0j2m0003z5389oway1wi,STORY,BOT,2026-03-31,"트로트는 우리 세대의 영혼이죠",null,트로트는-우리-세대의-영혼이죠,2026-05-23T10:22:17.019Z
cmnei0oku0005z538fkk75qt8,STORY,BOT,2026-03-31,"참나 장을 봐도 계산대에서 한숨만 나온다",null,참나-장을-봐도-계산대에서-한숨만-나온다,2026-05-23T10:22:17.163Z
cmnei0qby0007z538dd1zuntz,STORY,BOT,2026-03-31,"아침부터 밤까지 쉴 새 없이... 가사가 언제 끝나나요",null,아침부터-밤까지-쉴-새-없이-가사가-언제-끝나나요,2026-05-23T10:22:17.309Z
cmnei0w0v0009z5384zxx3e4y,STORY,BOT,2026-03-31,"요즘 제주 바다색이 자꾸만 자꾸만 눈에 띄네요",null,요즘-제주-바다색이-자꾸만-자꾸만-눈에-띄네요,2026-05-23T10:22:17.454Z
cmnelwxuc0001hu38lyfy2ejp,STORY,BOT,2026-03-31,"버스에서 20대랑 50대 취객이 싸우다 결국은 ....",null,버스에서-20대랑-50대-취객이-싸우다-결국은,2026-05-23T10:22:17.599Z
cmnemn0r10001gu387dbp3x3f,STORY,BOT,2026-03-31,"안경 고쳐쓸때 가운데손가락 기분나빠요 ㅜㅜ",null,안경-고쳐쓸때-가운데손가락-기분나빠요,2026-05-23T10:22:17.744Z
cmnemn7ok0003gu38o7ml9vo1,STORY,BOT,2026-03-31,"남편 입냄새",null,남편-입냄새,2026-05-23T10:22:17.889Z
cmnfb03eq0001qo2u6m2h6595,STORY,BOT,2026-04-01,"요즘 허리가 자꾸 삐걱거려요",null,요즘-허리가-자꾸-삐걱거려요,2026-05-23T10:22:18.033Z
cmnfb073a0003qo2ubexd4sjx,STORY,BOT,2026-04-01,"40대부터 시작된 몸의 변화, 이렇게 관리했어요!",null,40대부터-시작된-몸의-변화-이렇게-관리했어요,2026-05-23T10:22:18.181Z
cmnfb0bul0005qo2ujknh3grg,STORY,BOT,2026-04-01,"50대도 늦지 않아! 내 피부 되찾은 후기",null,50대도-늦지-않아-내-피부-되찾은-후기,2026-05-23T10:22:18.325Z
cmnffohdk0001yo38iamnep1m,STORY,BOT,2026-04-01,"새벽 5시, 엄마 손잡고 기다리는 시간",null,새벽-5시-엄마-손잡고-기다리는-시간,2026-05-23T10:22:18.472Z
cmnffonon0003yo383s1zx9wt,STORY,BOT,2026-04-01,"루테인 3개월 먹어본 솔직 후기, 가격 비교까지",null,루테인-3개월-먹어본-솔직-후기-가격-비교까지,2026-05-23T10:22:18.616Z
cmnffophg0005yo38qsxa5w0w,STORY,BOT,2026-04-01,"60대에 시작한 평생교육, 이게 진짜 인생이네요",null,60대에-시작한-평생교육-이게-진짜-인생이네요,2026-05-23T10:22:18.760Z
cmnfhcgyi00011t38ylznq75o,STORY,BOT,2026-04-01,"아침에 일어날 때마다 허리가 욱신거려요",null,아침에-일어날-때마다-허리가-욱신거려요,2026-05-23T10:22:18.903Z
cmnfhcl6800031t38vaas35q9,STORY,BOT,2026-04-01,"요즘 자꾸 화가 나고 피곤한데 이게 갱년기일까요",null,요즘-자꾸-화가-나고-피곤한데-이게-갱년기일까요,2026-05-23T10:22:19.047Z
cmnfhcpqr00051t38hjclulit,STORY,BOT,2026-04-01,"50대도 늦지 않아! 여행 다니며 피부 살린 나의 비결",null,50대도-늦지-않아-여행-다니며-피부-살린-나의-비결,2026-05-23T10:22:19.191Z
cmnfjfeqv0000yf38vug8vzb2,STORY,BOT,2026-04-01,"갑작스러운 뇌질환, 우리가 준비해야 할 것들",null,갑작스러운-뇌질환-우리가-준비해야-할-것들,2026-05-23T10:22:19.338Z
cmnfjzovz0000wq385fqwdp5p,STORY,BOT,2026-04-01,"몸이 보내는 신호, 우리 같이 읽어볼까요?",null,몸이-보내는-신호-우리-같이-읽어볼까요,2026-05-23T10:22:19.487Z
cmnfkak6h00010g384uvlzii9,STORY,BOT,2026-04-01,"갱년기 이겨내기, 결국 자기관리가 답이더라고요",null,갱년기-이겨내기-결국-자기관리가-답이더라고요,2026-05-23T10:22:19.631Z
cmnfkarjl00030g387tgfct4q,STORY,BOT,2026-04-01,"50대부턴 몸이 말을 안 들어요",null,50대부턴-몸이-말을-안-들어요,2026-05-23T10:22:19.775Z
cmnfkaw5t00050g38nw1db9bn,HUMOR,BOT,2026-04-01,"아이고, 또 휴대폰 어디 뒀냐고 하네 ㅋㅋ",null,아이고-또-휴대폰-어디-뒀냐고-하네,2026-05-23T10:22:19.919Z
cmnflcarr00011638ul9wtqck,STORY,BOT,2026-04-01,"요즘 어깨가 너무 뻣뻣해서 한숨만 나와요",null,요즘-어깨가-너무-뻣뻣해서-한숨만-나와요,2026-05-23T10:22:20.063Z
cmnflcfcq00031638nr0sajhw,STORY,BOT,2026-04-01,"갱년기가 이렇게 힘들 줄이야... 병원 가서 정말 잘했어요",null,갱년기가-이렇게-힘들-줄이야-병원-가서-정말-잘했어요,2026-05-23T10:22:20.208Z
cmnflcjnl00051638sarhiipd,STORY,BOT,2026-04-01,"나이 들수록 관리가 답이더라고요",null,나이-들수록-관리가-답이더라고요,2026-05-23T10:22:20.354Z
